keyword_phrases,clicks,cost,transactions,bad_to_ok_keywords,clicks_sum,cost_sum,bounce_rate_avg,category
masonry insurance,8,16.86,0, masonry,8,16.86,75,ok
mixed martial arts insurance,8,36.14,0, mixed martial arts,8,36.14,38,ok
musician public liability,17,92.28,0, musician,35,190.21,61,ok
musician liability,3,11.48,0, musician,35,190.21,61,ok
musician liability insurance,5,24.94,0, musician,35,190.21,61,ok
musician public liability insurance,10,61.51,0, musician,35,190.21,61,ok
public liability insurance musicians,10,61.37,0, musicians,62,299.39000000000004,69,ok
musicians liability insurance,5,26.16,0, musicians,62,299.39000000000004,69,ok
public liability for musicians,16,75.83,0, musicians,62,299.39000000000004,69,ok
musicians insurance,6,23.67,0, musicians,62,299.39000000000004,69,ok
musicians public liability insurance,7,30.06,0, musicians,62,299.39000000000004,69,ok
liability insurance for musicians,18,82.3,0, musicians,62,299.39000000000004,69,ok
musicians union public liability insurance,1,8.17,0, musicians union,1,8.17,100,bad
insurance for painter,8,33.7,0, painter,45,143.29000000000002,59,ok
painter liability insurance,3,12.44,0, painter,45,143.29000000000002,59,ok
painter insurance,34,97.15,0, painter,45,143.29000000000002,59,ok
painter and decorator public liability insurance,2,13.71,0, painter decorator,2,13.71,50,ok
painters public liability,1,4.21,0, painters,32,153.03,62,ok
painters insurance,11,33.39,0, painters,32,153.03,62,ok
painters public insurance,1,1.22,0, painters,32,153.03,62,ok
public liability insurance for painters,1,5.56,0, painters,32,153.03,62,ok
insurance for painters,1,2.39,0, painters,32,153.03,62,ok
painters public liability insurance,12,75.82,0, painters,32,153.03,62,ok
liability insurance for painters,1,4.94,0, painters,32,153.03,62,ok
painters liability insurance,3,20.78,0, painters,32,153.03,62,ok
insurance painters,1,4.72,0, painters,32,153.03,62,ok
plasterer public liability insurance,1,4.48,0, plasterer,2,8.600000000000001,100,bad
plasterer insurance,1,4.12,0, plasterer,2,8.600000000000001,100,bad
insurance for plasterers,3,12.98,0, plasterers,9,38.21,83,ok
plasterers public liability,4,15.95,0, plasterers,9,38.21,83,ok
public liability insurance for plasterers,2,9.28,0, plasterers,9,38.21,83,ok
plumber insurance,7,45.87,0, plumber,9,59.209999999999994,43,ok
plumber public liability insurance,2,13.34,0, plumber,9,59.209999999999994,43,ok
public liability insurance plumbers,4,23.22,0, plumbers,35,175.64000000000001,80,ok
insurance for plumbers,5,13.24,0, plumbers,35,175.64000000000001,80,ok
insurance plumbers,3,12.91,0, plumbers,35,175.64000000000001,80,ok
public liability insurance for plumbers,4,38.97,0, plumbers,35,175.64000000000001,80,ok
plumbers insurance,11,42.71,0, plumbers,35,175.64000000000001,80,ok
plumbers public liability,7,34.47,0, plumbers,35,175.64000000000001,80,ok
plumbers public liability insurance,1,10.12,0, plumbers,35,175.64000000000001,80,ok
10 million pound public liability insurance,13,93.84,0, pound,13,93.84,54,ok
public liability insurance prices,2,8.53,0, prices,2,8.53,100,bad
professional indemnity insurance it contractor,2,16.44,0, professional indemnity it contractor,2,16.44,100,bad
public liability insurance providers,2,9.18,0, providers,2,9.18,100,bad
liability insurance publisher,1,2.24,0, publisher,36,85.08000000000001,65,ok
publisher insurance,28,56.95,0, publisher,36,85.08000000000001,65,ok
publisher liability insurance,6,20.66,0, publisher,36,85.08000000000001,65,ok
publisher public liability insurance,1,5.23,0, publisher,36,85.08000000000001,65,ok
quantity surveyor insurance,2,7.99,0, quantity surveyor,2,7.99,100,bad
sign erector insurance,1,0.49,0, sign erector,1,0.49,100,bad
public liability insurance for sign erectors,1,7.19,0, sign erectors,2,7.82,50,ok
insurance for sign erectors,1,0.63,0, sign erectors,2,7.82,50,ok
sports public liability insurance,29,97.7,0, sports,29,97.7,72,ok
stall holders insurance,43,181.85,0, stall holders,43,181.85,83,ok
stallholder insurance uk,11,27.63,0, stallholder,11,27.63,73,ok
public liability insurance for stallholders,9,38.34,0, stallholders,69,245.86,89,ok
liability insurance for stallholders,10,52.64,0, stallholders,69,245.86,89,ok
stallholders insurance,50,154.88,0, stallholders,69,245.86,89,ok
insurance for stonemason,1,0.19,0, stonemason,1,0.19,100,bad
surveyor liability insurance,1,8.44,0, surveyor,18,81.17999999999999,54,ok
surveyor insurance,5,27.12,0, surveyor,18,81.17999999999999,54,ok
surveyor cover,9,35.54,0, surveyor,18,81.17999999999999,54,ok
insurance for surveyor,3,10.08,0, surveyor,18,81.17999999999999,54,ok
surveyors liability,16,79.86,0, surveyors,16,79.86,70,ok
therapist liability insurance,26,157.78,0, therapist,181,541.6600000000001,83,ok
insurance therapist,38,83.81,0, therapist,181,541.6600000000001,83,ok
therapist insurance,113,288.88,0, therapist,181,541.6600000000001,83,ok
insurance for therapist,4,11.19,0, therapist,181,541.6600000000001,83,ok
insurance to export a vehicle outside of the uk,15,24.74,0, to a outside the,15,24.74,64,ok
car insurance export to europe,7,18.78,0, to europe,7,18.78,60,ok
sole trader insurance,6,37.89,0, trader,52,409.43,36,ok
sole trader liability,6,23.62,0, trader,52,409.43,36,ok
public liability insurance sole trader,1,7.85,0, trader,52,409.43,36,ok
public liability sole trader,4,24.85,0, trader,52,409.43,36,ok
public liability insurance for sole trader,6,65.04,0, trader,52,409.43,36,ok
public liability for sole trader,2,8.02,0, trader,52,409.43,36,ok
sole trader public liability insurance,27,242.16,0, trader,52,409.43,36,ok
tradesman public liability insurance,5,32.16,0, tradesman,5,32.16,100,bad
marine transport insurance,2,8.7,0, transport,2,8.7,100,bad
insurance web marketing,1,3.4,0, web marketing,1,3.4,0,ok
website designer liability insurance,1,3.46,0, website designer,2,5.9399999999999995,100,bad
website designer insurance,1,2.48,0, website designer,2,5.9399999999999995,100,bad
insurance for window cleaners,4,12.85,0, window cleaners,11,36.9,52,ok
public liability window cleaners,7,24.05,0, window cleaners,11,36.9,52,ok
window cleaning public liability insurance,4,20.41,0, window cleaning,4,20.41,67,ok
